Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       44     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*& std::forward<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*&>::type&)
  0.00      0.00     0.00       43     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr() const
  0.00      0.00     0.00       43     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr() const
  0.00      0.00     0.00       43     0.00     0.00  std::_Select1st<std::pair<int const, int> >::operator()(std::pair<int const, int> const&) const
  0.00      0.00     0.00       43     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr() const
  0.00      0.00     0.00       43     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_key(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.00      0.00     0.00       36     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_Node_allocator()
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> >::operator*() const
  0.00      0.00     0.00       32     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::begin()
  0.00      0.00     0.00       28     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      0.00     0.00       27     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00       27     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00       27     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       26     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr()
  0.00      0.00     0.00       26     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr()
  0.00      0.00     0.00       26     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr()
  0.00      0.00     0.00       24     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       22     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       22     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_end()
  0.00      0.00     0.00       20     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> >::operator--()
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.00     0.00       18     0.00     0.00  std::initializer_list<int>::begin() const
  0.00      0.00     0.00       18     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.00     0.00       18     0.00     0.00  int const* std::__miter_base<int const*>(int const*)
  0.00      0.00     0.00       18     0.00     0.00  int const* std::__niter_base<int const*>(int const*)
  0.00      0.00     0.00       18     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.00     0.00       18     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00       17     0.00     0.00  std::map<std::pair<char, char>, int, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::key_comp() const
  0.00      0.00     0.00       17     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::key_comp() const
